Time [s],Rank 1,Rank 0
0.0,1.0,1.0
0.001175176,,1.0
0.002220737,1.0,
0.019001775,1.0,
0.02377079,,1.0
0.038149267,0.811147109849917,
0.042548634,,0.811147109849917
0.053275912,,0.782996867416958
0.054763321,0.782996867416958,
0.069882607,,0.772123157060644
0.070641048,0.772123157060644,
0.085141148,,0.765750055527671
0.08515864,0.765750055527671,
0.099175521,,0.761163425198047
0.100203819,0.761163425198047,
0.11009412,,0.757479968163684
0.115621767,0.757479968163684,
0.128109959,,0.75432839376816
0.128456812,0.75432839376816,
0.143830675,,0.75152441092239
0.144353854,0.75152441092239,
0.158963005,,0.748965265005207
0.159916605,0.748965265005207,
0.174261378,,0.748965265005207
0.177129739,0.746588503231105,
0.186618539,,0.746588503231105
0.190143838,0.746588503231105,
0.197458858,,0.743294322562464
0.208953874,,0.743294322562464
0.211233093,0.743294322562464,
0.223355251,,0.740200375581005
0.226964383,0.740200375581005,
0.23701465,,0.737313927984826
0.238413896,0.737313927984826,
0.250446753,0.735464009252628,
0.253817828,,0.735464009252628
0.264608713,,0.733670449989794
0.269445713,0.733670449989794,
0.278033061,,0.73192671232858
0.281114721,0.73192671232858,
0.293957215,,0.730229334948787
0.295708981,0.730229334948787,
0.30782333,,0.72857013823811
0.312983266,0.72857013823811,
0.323771048,,0.72857013823811
0.331363269,0.72857013823811,
0.341591457,,0.726947516895025
0.343114698,0.726947516895025,
0.35827416,0.72379982930961,
0.368205513,,0.72379982930961
0.370073018,0.72379982930961,
0.379462601,,0.722269771996932
0.383603265,0.722269771996932,
0.395118497,,0.720019967397318
0.398416049,0.720019967397318,
0.409936584,,0.718552777538913
0.414228926,0.718552777538913,
0.425193512,,0.717107900264863
0.425764197,0.717107900264863,
0.437701574,0.715683994866633,
0.447780676,,0.715683994866633
0.449314003,0.715683994866633,
0.463201784,0.714279999750113,
0.463928786,,0.714279999750113
0.475380853,,0.712211297838863
0.477636716,0.712211297838863,
0.490293532,0.71085193554934,
0.490539835,,0.71085193554934
0.502417592,,0.709509012342161
0.504496169,0.709509012342161,
0.51901243,,0.70818174306491
0.519475886,0.70818174306491,
0.537031437,,0.706869409545167
0.543651334,0.706869409545167,
0.557236386,,0.705571351624756
0.560196258,0.705571351624756,
0.571295103,0.704286960299638,
0.572823283,,0.704286960299638
0.584505751,,0.70301567206486
0.587201566,0.70301567206486,
0.59823029,0.701756964116917,
0.599621473,,0.701756964116917
0.614845966,,0.700510350225116
0.614952342,0.700510350225116,
0.629507722,0.699275377147098,
0.629691727,,0.699275377147098
0.644615597,,0.698051621496683
0.644784725,0.698051621496683,
0.659926148,,0.696838686992743
0.660368395,0.696838686992743,
0.675232676,0.695636202031971,
0.676989926,,0.695636202031971
0.690174622,,0.694443817538954
0.691553925,0.694443817538954,
0.704468725,0.693261205054999,
0.705090895,,0.693261205054999
0.720224591,0.692088055033559,
0.72320026,,0.692088055033559
0.734601921,,0.690924075315234
0.736187153,0.690924075315234,
0.747562692,,0.689768989759448
0.752152031,0.689768989759448,
0.765032745,,0.688622537013363
0.765132873,0.688622537013363,
0.779628836,0.6874844694014,
0.779935707,,0.6874844694014
0.792596618,,0.686354551921091
0.795338105,0.686354551921091,
0.812160719,0.685232561332956,
0.812207038,,0.685232561332956
0.824780387,,0.684118285333788
0.827132729,0.684118285333788,
0.840807398,,0.68301152180409
0.842960701,0.68301152180409,
0.853893183,0.681912078121631,
0.854414136,,0.681912078121631
0.866500864,,0.680819770534108
0.86970561,0.680819770534108,
0.88005903,,0.679734423584749
0.885406589,0.679734423584749,
0.894571528,0.678655869585453,
0.895984256,,0.678655869585453
0.909634224,,0.677583948132717
0.910148091,0.677583948132717,
0.924480566,,0.676518505662135
0.925639067,0.676518505662135,
0.936429126,,0.675459395037748
0.940467516,0.675459395037748,
0.952828644,,0.674406475172953
0.9557973,0.674406475172953,
0.968570127,,0.673359610680022
0.971414427,0.673359610680022,
