Time [s],Rank 27,Rank 5,Rank 14,Rank 19,Rank 1,Rank 20,Rank 8,Rank 25,Rank 12,Rank 17,Rank 31,Rank 4,Rank 23,Rank 0,Rank 28,Rank 10,Rank 7,Rank 15,Rank 21,Rank 3,Rank 26,Rank 13,Rank 18,Rank 6,Rank 24,Rank 29,Rank 11,Rank 2,Rank 16,Rank 30,Rank 9,Rank 22
0.108444533,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,
0.112976563,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115063542,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116090432,,,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,
0.11610431,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,
0.116274688,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,
0.116555066,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,
0.119324053,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,
0.11987505,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120098502,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,
0.120436359,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,
0.120556082,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120714359,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,
0.121088568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,
0.121667856,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,
0.12240969,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,
0.122641438,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,
0.124010183,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12542505,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.126417058,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,
0.126714394,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,
0.127032287,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,,,
0.128814805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977
0.130750574,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,,,,,
0.132807355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762146004802977,
0.133963632,,,,,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,
0.137205011,,,,,,,,,,,,,0.762146004802977,,,,,,,,,,,,,,,,,,,
0.159131852,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,
0.162863671,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,
0.162896797,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,
0.167153244,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,
0.170939849,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,
0.17327097,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,
0.175052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,
0.175166815,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,
0.176426402,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.176559091,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.179439022,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,
0.179572881,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.179951695,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,
0.180168769,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,
0.182121477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962
0.182256137,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,
0.183925448,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.184114305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,
0.185873719,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,
0.186747398,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,
0.187098841,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,
0.18772891,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,
0.187750661,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188382744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,
0.189268863,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,
0.191632538,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,,,,
0.191911,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,,,
0.19251006,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,,,,
0.192548951,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,
0.193776078,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,,,,
0.195734829,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,,,,,,
0.196596329,,,,,,,,,,,,,,,,,,,,,,0.752111466126962,,,,,,,,,,
0.212590826,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,
0.21630423,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,
0.219559912,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.221898288,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,
0.224420045,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.224673109,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,
0.226870567,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,
0.229636664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231
0.230174495,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,
0.231901573,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,
0.232454344,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,
0.234097337,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,
0.235032882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,
0.235772334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,
0.235925602,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23618017,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,
0.236552143,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.237091158,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,
0.238194241,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,
0.238598566,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,
0.239877452,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,
0.240105436,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,
0.241035426,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,
0.243127303,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,
0.243982384,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.244193268,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,
0.248480344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,
0.249913029,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,,,,,,
0.252200945,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,
0.257261791,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,,,,
0.264649764,,,,,,,,,,,,,,0.723622019597231,,,,,,,,,,,,,,,,,,
0.271186316,,,,,,,,,,,,,,,,,,,,,,,,0.723622019597231,,,,,,,,
0.307999523,,,,,,,0.700024456490569,,,,,,,,,,,,,,,,,,,,,,,,,
0.310179809,,,,,,,,,,,,,,,,0.700024456490569,,,,,,,,,,,,,,,,
0.310838055,,,,,,,,,,,,,,,,,,,0.700024456490569,,,,,,,,,,,,,
0.311966331,,,,,,,,,,,,,,,,,,,,,,,0.700024456490569,,,,,,,,,
0.314715634,,,,,,0.700024456490569,,,,,,,,,,,,,,,,,,,,,,,,,,
0.315599838,,,,,,,,,,,,,,,,,,0.700024456490569,,,,,,,,,,,,,,
0.31814693,,,,0.700024456490569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
