Device,Domain partitions,Exact solution,Executable name,Executable path,Info,Initial guess,Iterant,Matrix,Nodes,Processes,Processes grid,Processes per node,Rank,Relative error,Relative residual,Threads per process,Timeout [min],Timestamp,Tolerance
julia,"[[0, 100], [0, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,1.0,1.0,"[1, 1, 1]",1.0,0.0,9.985354262563508e-05,3.0970738022102195e-05,256.0,2.0,2018-04-25 11:54:33,0.0001
julia,"[[0, 50, 100], [0, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,2.0,2.0,"[2, 1, 1]",1.0,0.0,0.000390862454154469,1.54383180130741e-06,256.0,2.0,2018-04-25 11:54:46,0.0001
julia,"[[0, 50, 100], [0, 50, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,4.0,4.0,"[2, 2, 1]",1.0,0.0,0.0009623689320743052,1.37967509212038e-06,256.0,2.0,2018-04-25 11:55:07,0.0001
julia,"[[0, 50, 100], [0, 50, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,8.0,8.0,"[2, 2, 2]",1.0,0.0,0.0019808743669554396,2.80622626306637e-06,256.0,2.0,2018-04-25 11:55:23,0.0001
julia,"[[0, 25, 50, 75, 100], [0, 50, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,16.0,16.0,"[4, 2, 2]",1.0,0.0,0.00624421084982272,8.89835667694157e-06,256.0,2.0,2018-04-25 11:56:04,0.0001
julia,"[[0, 25, 50, 75, 100], [0, 25, 50, 75, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,32.0,32.0,"[4, 4, 2]",1.0,0.0,0.00814252244425256,1.1611609669989e-05,256.0,2.0,2018-04-25 11:58:53,0.0001
