Time [s],Rank 1,Rank 0,Rank 3,Rank 2
0.0,1.0,1.0,1.0,1.0
0.001302269,,1.0,,
0.001441896,,,,1.0
0.002352178,,,1.0,
0.01216375,1.0,,,
0.028421136,,,1.0,
0.039104027,,,,1.0
0.042018305,,1.0,,
0.048453537,1.0,,,
0.058645064,,,0.81138485997401,
0.065302026,,0.81138485997401,,
0.066111365,,,,0.81138485997401
0.069262552,0.81138485997401,,,
0.078372616,,0.783332182462678,,
0.082926485,,,0.783332182462678,
0.085117203,,,,0.783332182462678
0.089385707,0.783332182462678,,,
0.100396185,,0.772457855585336,,
0.100946986,,,,0.772457855585336
0.101728113,,,0.772457855585336,
0.107805098,0.772457855585336,,,
0.121466108,,,0.766112646735924,
0.126476236,,0.766112646735924,,
0.127237472,0.766112646735924,,,
0.127932204,,,,0.766112646735924
0.137885649,,,0.761555476217598,
0.143564463,,,,0.761555476217598
0.144200163,,0.761555476217598,,
0.144951939,0.761555476217598,,,
0.157211745,,,0.757901023253097,
0.162237531,,0.757901023253097,,
0.162927186,0.757901023253097,,,
0.170000708,,,,0.757901023253097
0.173398137,0.754777374633062,,,
0.176165283,,,0.754777374633062,
0.180315353,,0.754777374633062,,
0.182552994,,,,0.754777374633062
0.186423622,0.754777374633062,,,
0.188439656,,,0.754777374633062,
0.200999417,,0.752000972124532,,
0.202895295,,,,0.752000972124532
0.207367208,0.752000972124532,,,
0.20885482,,,0.752000972124532,
0.217376154,0.74829327229402,,,
0.22528651,,,0.74829327229402,
0.225435692,,0.74829327229402,,
0.228788471,,,,0.74829327229402
0.232010265,0.746007680801887,,,
0.238324281,,,0.746007680801887,
0.240262006,,0.746007680801887,,
0.242209425,,,,0.746007680801887
0.246250118,0.746007680801887,,,
0.253751216,,,0.743851376924124,
0.260050137,,0.743851376924124,,
0.260558121,,,,0.743851376924124
0.26279077,0.743851376924124,,,
0.274464461,,,,0.743851376924124
0.275672475,0.741318253012599,,,
0.275725592,,,0.741318253012599,
0.282163432,,0.741318253012599,,
0.288684729,0.741318253012599,,,
0.293546872,,,0.738880592455776,
0.294993301,,,,0.741318253012599
0.295836129,,0.741318253012599,,
0.301390388,0.738880592455776,,,
0.308913193,,,,0.738880592455776
0.309075759,,0.738880592455776,,
0.31491805,0.736111614230747,,,
0.315488873,,,0.736111614230747,
0.323076173,,,,0.736111614230747
0.330900768,0.734328085548245,,,
0.332234877,,,0.734328085548245,
0.332392898,,,,0.736111614230747
0.332809336,,0.736111614230747,,
0.342249991,0.734328085548245,,,
0.34717829,,,,0.734328085548245
0.347241743,,0.734328085548245,,
0.355119487,0.732169128284343,,,
0.356303106,,,0.732169128284343,
0.356862899,,0.732169128284343,,
0.360493501,,,,0.732169128284343
0.365334138,0.732169128284343,,,
0.373946316,,,0.730094089621576,
0.375234518,,0.730094089621576,,
0.37600394,,,,0.730094089621576
0.379730391,0.730094089621576,,,
0.387977424,,0.730094089621576,,
0.39273319,,,0.730094089621576,
0.396932138,,,,0.730094089621576
0.401766132,0.728081514762461,,,
0.415319616,,,0.728081514762461,
0.419897602,,,,0.728081514762461
0.42043452,,0.728081514762461,,
0.42380913,0.725298183995621,,,
0.428652096,,,0.725298183995621,
0.429896009,,0.725298183995621,,
0.431563209,,,,0.725298183995621
0.434827191,0.723761012999385,,,
0.441823534,,,,0.723761012999385
0.442195642,,,0.723761012999385,
0.44657063,,0.723761012999385,,
0.454996212,0.722251645708362,,,
0.45630384,,,0.722251645708362,
0.460341633,,0.722251645708362,,
0.460368803,,,,0.722251645708362
0.468631542,0.720766250524533,,,
0.470634228,,,0.720766250524533,
0.472024588,,0.720766250524533,,
0.473936694,,,,0.720766250524533
0.481799044,0.719303811891505,,,
0.482879074,,,0.719303811891505,
0.486639977,,0.719303811891505,,
0.487276241,,,,0.719303811891505
0.49597529,,,0.717862610236725,
0.500587828,,0.717862610236725,,
0.500875094,,,,0.717862610236725
0.50301636,0.717862610236725,,,
0.515575551,0.716443942669188,,,
0.520711872,,0.716443942669188,,
0.520795936,,,,0.716443942669188
0.576957185,,,0.716443942669188,
0.586465122,0.715045691048945,,,
0.594562375,,,,0.715045691048945
0.596887202,,,0.715045691048945,
0.59744801,,0.715045691048945,,
0.606587104,0.713664830397503,,,
0.611976833,,,,0.713664830397503
0.614581376,,0.713664830397503,,
0.616592542,,,0.713664830397503,
0.623279507,0.712303525841831,,,
0.631553804,,,,0.712303525841831
0.631698416,,0.712303525841831,,
0.635040225,,,0.712303525841831,
0.641649072,0.710957896657124,,,
0.64819227,,0.710957896657124,,
0.650350089,,,,0.710957896657124
0.651760368,,,0.710957896657124,
0.657924554,0.709627235727717,,,
0.66522286,,0.709627235727717,,
0.667157431,,,,0.709627235727717
0.667930465,,,0.709627235727717,
0.675830993,0.708311673059561,,,
0.678495651,,,0.708311673059561,
0.681059952,,0.708311673059561,,
0.684694942,,,,0.708311673059561
0.690889178,,,0.707012049384569,
0.695559503,,0.707012049384569,,
0.69677934,0.707012049384569,,,
0.704889252,,,,0.707012049384569
0.709020137,0.70572544621375,,,
0.711622406,,,0.70572544621375,
0.714896926,,0.70572544621375,,
0.725357473,,,,0.70572544621375
0.728167745,0.704451179349428,,,
0.729995747,,,0.704451179349428,
0.730419443,,0.704451179349428,,
0.74391976,,,,0.704451179349428
0.746269495,,0.704451179349428,,
0.746623939,,,0.703189708640114,
0.747243789,0.703189708640114,,,
0.75965101,0.703189708640114,,,
0.763227197,,0.703189708640114,,
0.763715428,,,0.703189708640114,
0.765659715,,,,0.703189708640114
0.771129211,0.701629478797729,,,
0.775592556,,,0.701629478797729,
0.779561033,,0.701629478797729,,
0.781901135,,,,0.701629478797729
0.787649146,0.699783758779906,,,
0.789342698,,,0.699783758779906,
0.793635976,,0.699783758779906,,
0.796521257,,,,0.699783758779906
0.801955701,,,0.698566629650841,
0.802588049,0.698566629650841,,,
0.80811062,,0.698566629650841,,
0.809679286,,,,0.698566629650841
0.814679322,0.697359993558999,,,
0.817332069,,,0.697359993558999,
0.827930608,0.697359993558999,,,
0.83064284,,0.697359993558999,,
0.830968505,,,,0.697359993558999
0.836602928,,,0.696162900512709,
0.844240727,,,,0.696162900512709
0.84672403,0.696162900512709,,,
0.854556612,,0.696162900512709,,
0.857347732,,,0.69468918193388,
0.863199947,,,,0.69468918193388
0.865691864,0.69468918193388,,,
0.871014634,,0.69468918193388,,
0.87572366,,,0.693515393396247,
0.881728796,0.693515393396247,,,
0.882157814,,,,0.693515393396247
0.889249577,,0.693515393396247,,
0.89341474,,,0.692350636329899,
0.899127499,,,,0.692350636329899
0.899292616,0.692350636329899,,,
0.902147671,,0.692350636329899,,
0.910197648,,,0.691194135956227,
0.914915825,,0.691194135956227,,
0.917161108,0.691194135956227,,,
