Time [s],Rank 5,Rank 1,Rank 4,Rank 0,Rank 7,Rank 3,Rank 6,Rank 2
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.7741e-05,,,,1.0,,,,
0.000101644,,,1.0,,,,,
0.000106515,1.0,,,,,,,
0.000107858,,1.0,,,,,,
0.000112229,,,,,,,1.0,
0.000113101,,,,,,,,1.0
0.000113451,,,,,1.0,,,
0.000120608,,,,,,1.0,,
0.061339449,,,0.760958112203805,,,,,
0.065006003,,,,0.760958112203805,,,,
0.066169202,,,,,,,0.760958112203805,
0.067065111,,,,,0.760958112203805,,,
0.070300094,0.760958112203805,,,,,,,
0.072684901,,,,,,0.760958112203805,,
0.076949957,,,,,,,,0.760958112203805
0.082406629,,0.760958112203805,,,,,,
0.126604632,,,,0.749600926109632,,,,
0.127375208,,,0.749600926109632,,,,,
0.129876351,,,,,,,0.749600926109632,
0.13020328,,,,,,,,0.749600926109632
0.130422238,0.749600926109632,,,,,,,
0.132205593,,,,,0.749600926109632,,,
0.133208877,,,,,,0.749600926109632,,
0.133778931,,0.749600926109632,,,,,,
0.19877413,,,,,,,,0.723228480771867
0.201345147,0.723228480771867,,,,,,,
0.20204155,,,,0.723228480771867,,,,
0.203364751,,,0.723228480771867,,,,,
0.204281537,,,,,0.723228480771867,,,
0.206435785,,,,,,,0.723228480771867,
0.208447023,,,,,,0.723228480771867,,
0.214450976,,0.723228480771867,,,,,,
0.280700927,0.699095026212795,,,,,,,
0.282792745,,,,,,,,0.699095026212795
0.284873778,,,,,,,0.699095026212795,
0.285004252,,,0.699095026212795,,,,,
0.285328981,,,,,,0.699095026212795,,
0.288274709,,,,,0.699095026212795,,,
0.288498589,,,,0.699095026212795,,,,
0.291122574,,0.699095026212795,,,,,,
0.540261993,,,,,,,0.503588244811689,
0.540978202,,,,0.503588244811689,,,,
0.54454332,,,,,,,,0.503588244811689
0.546269108,,,0.503588244811689,,,,,
0.546458065,,,,,,0.503588244811689,,
0.548194999,,0.503588244811689,,,,,,
0.553133337,,,,,0.503588244811689,,,
0.557579001,0.503588244811689,,,,,,,
0.834579156,,,,,,,,0.365232471518603
0.835130842,,,,,,,0.365232471518603,
0.836963591,,,0.365232471518603,,,,,
0.839944609,,,,0.365232471518603,,,,
0.840259461,,0.365232471518603,,,,,,
0.841783597,0.365232471518603,,,,,,,
0.843085907,,,,,,0.365232471518603,,
0.848530689,,,,,0.365232471518603,,,
1.299374096,,,,0.305562160531835,,,,
1.310944908,0.305562160531835,,,,,,,
1.313443521,,,,,,0.305562160531835,,
1.314003977,,,,,,,0.305562160531835,
1.317745012,,,0.305562160531835,,,,,
1.318945037,,,,,,,,0.305562160531835
1.3195016,,0.305562160531835,,,,,,
1.321970089,,,,,0.305562160531835,,,
1.769119374,,,,,,,,0.29929289628266
1.773879006,,,,,,,0.29929289628266,
1.775512169,0.29929289628266,,,,,,,
1.777179129,,,,0.29929289628266,,,,
1.77763029,,,,,0.29929289628266,,,
1.779264626,,,,,,0.29929289628266,,
1.780080042,,,0.29929289628266,,,,,
1.790822215,,0.29929289628266,,,,,,
2.103767343,,,,,,0.285053730472932,,
2.109652936,,,,,,,,0.285053730472932
2.109830971,0.285053730472932,,,,,,,
2.11317609,,,,,,,0.285053730472932,
2.114508883,,,,,0.285053730472932,,,
2.119932549,,,,0.285053730472932,,,,
2.124233592,,0.285053730472932,,,,,,
2.126772667,,,0.285053730472932,,,,,
2.342978548,,,,,,,,0.272239976977265
2.350645973,,,,,,0.272239976977265,,
2.363114398,,,0.272239976977265,,,,,
2.366473022,,,,0.272239976977265,,,,
2.371596833,,,,,,,0.272239976977265,
2.373184306,0.272239976977265,,,,,,,
2.373673255,,,,,0.272239976977265,,,
2.373937094,,0.272239976977265,,,,,,
2.743291533,,,0.257225223554459,,,,,
2.74679878,,,,,,0.257225223554459,,
2.752402587,,,,,,,,0.257225223554459
2.753483896,,,,,,,0.257225223554459,
2.763984022,,,,0.257225223554459,,,,
2.767931635,,0.257225223554459,,,,,,
2.768369336,0.257225223554459,,,,,,,
2.770345704,,,,,0.257225223554459,,,
2.983445378,,0.242156907467938,,,,,,
2.992485764,,,,0.242156907467938,,,,
2.993827574,,,,,,,0.242156907467938,
2.995184787,,,,,,,,0.242156907467938
2.995738071,,,0.242156907467938,,,,,
3.000182879,,,,,0.242156907467938,,,
3.001395868,0.242156907467938,,,,,,,
3.00270301,,,,,,0.242156907467938,,
3.216443183,,,,,,0.227486543368176,,
3.220874523,,,,,,,0.227486543368176,
3.225957747,,,0.227486543368176,,,,,
3.240150281,0.227486543368176,,,,,,,
3.252645797,,,,,0.227486543368176,,,
3.26216356,,,,0.227486543368176,,,,
3.294791855,,0.227486543368176,,,,,,
3.314924572,,,,,,,,0.227486543368176
3.56773601,,,,,,,,0.214980656550894
3.608364395,,0.214980656550894,,,,,,
3.668012773,,,,,,,0.214980656550894,
3.681254444,,,,,,0.214980656550894,,
3.684670056,,,,0.214980656550894,,,,
3.686912116,,,0.214980656550894,,,,,
3.69444779,0.214980656550894,,,,,,,
3.694582954,,,,,0.214980656550894,,,
3.899017609,,0.203410496752981,,,,,,
3.911065766,,,0.203410496752981,,,,,
3.911621695,,,,0.203410496752981,,,,
3.916475249,,,,,,,0.203410496752981,
3.917838399,0.203410496752981,,,,,,,
3.922652801,,,,,0.203410496752981,,,
3.930918925,,,,,,0.203410496752981,,
4.046289174,,,,,,,,0.203410496752981
4.244194843,,,,,,,,0.192990478401922
4.286485462,,,,0.192990478401922,,,,
4.286496144,,,,,0.192990478401922,,,
4.290235427,0.192990478401922,,,,,,,
4.299119088,,,0.192990478401922,,,,,
4.345296471,,,,,,,0.192990478401922,
4.373857153,,,,,,0.192990478401922,,
4.38276152,,0.192990478401922,,,,,,
4.529031345,,,,,,,,0.183015728246332
4.558525712,,,0.183015728246332,,,,,
4.571019412,,,,0.183015728246332,,,,
4.572307391,,,,,,0.183015728246332,,
4.575047431,,,,,,,0.183015728246332,
4.585370788,0.183015728246332,,,,,,,
4.586243818,,0.183015728246332,,,,,,
4.605068424,,,,,0.183015728246332,,,
4.782619376,,,,,,0.173520872699303,,
4.783307359,,,,,,,0.173520872699303,
4.785699979,,0.173520872699303,,,,,,
4.78766434,,,,,,,,0.173520872699303
4.811164449,,,,,0.173520872699303,,,
4.816201152,0.173520872699303,,,,,,,
4.832815821,,,,0.173520872699303,,,,
4.833725555,,,0.173520872699303,,,,,
4.997374915,,0.164402966905354,,,,,,
4.99933953,,,,0.164402966905354,,,,
5.004214639,,,0.164402966905354,,,,,
5.007556712,,,,,,,0.164402966905354,
5.018838966,0.164402966905354,,,,,,,
5.019067324,,,,,,,,0.164402966905354
5.028063636,,,,,0.164402966905354,,,
5.042248347,,,,,,0.164402966905354,,
5.211881032,,,,0.155900956072545,,,,
