Device,Domain partitions,Exact solution,Executable name,Executable path,Info,Initial guess,Iterant,Matrix,Max iterations,Nodes,Processes,Processes grid,Processes per node,Rank,Relative error,Relative residual,Steps,Threads per process,Timeout [min],Timestamp,Tolerance
julia,"[[0, 256], [0, 256], [0, 256]]",white-noise sine,example.laplace3d_jacobi,~/asynchronator/build/example,SIAM,zero,jacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,0.5524392131186651,0.00219910668037165,1.0,256.0,2.0,2018-04-26 10:55:30,0.0001
julia,"[[0, 256], [0, 256], [0, 256]]",white-noise sine,example.laplace3d_jacobi,~/asynchronator/build/example,SIAM,zero,jacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,0.552104550956808,0.0026522159278458803,1.0,256.0,2.0,2018-04-26 11:01:29,0.0001
julia,"[[0, 256], [0, 256], [0, 256]]",white-noise sine,example.laplace3d_jacobi,~/asynchronator/build/example,SIAM,zero,jacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,0.552189234934335,0.00237765737748404,1.0,256.0,2.0,2018-04-26 11:02:05,0.0001
