Time [s],Rank 1,Rank 0,Rank 3,Rank 2
0.0,1.0,1.0,1.0,1.0
3.357e-06,,1.0,,1.0
1.6518e-05,1.0,,,
3.0069e-05,,,1.0,
0.021158715,0.811002827109091,,,
0.0221806,,0.811002827109091,,
0.02230712,,,,0.811002827109091
0.025748659,,,0.811002827109091,
0.036576397,,,0.782800220771569,
0.038171668,0.782800220771569,,,
0.039229115,,,,0.782800220771569
0.043554605,,0.782800220771569,,
0.056718204,0.771909895665251,,,
0.056786695,,,0.771909895665251,
0.056821777,,,,0.771909895665251
0.059103849,,0.771909895665251,,
0.073740894,,0.765531860878205,,
0.076045383,,,0.765531860878205,
0.076405353,,,,0.765531860878205
0.076434265,0.765531860878205,,,
0.088506074,,,,0.760945593164377
0.089484372,,,0.760945593164377,
0.090010986,,0.760945593164377,,
0.092020039,0.760945593164377,,,
0.103413332,0.757265155973056,,,
0.104353424,,,0.757265155973056,
0.10477793,,0.757265155973056,,
0.106549386,,,,0.757265155973056
0.118962438,,,,0.754117920282944
0.119472388,,0.754117920282944,,
0.120522619,,,0.754117920282944,
0.121466452,0.754117920282944,,,
0.132865348,0.751318866812393,,,
0.134609922,,,,0.751318866812393
0.135431695,,0.751318866812393,,
0.136280497,,,0.751318866812393,
0.147893963,,,0.748764837087215,
0.148154887,,0.748764837087215,,
0.14895821,0.748764837087215,,,
0.150548879,,,,0.748764837087215
0.161619853,,,,0.746393157019978
0.162010466,0.746393157019978,,,
0.163356953,,,0.746393157019978,
0.165062225,,0.746393157019978,,
0.176695871,,0.744163139686574,,
0.177969898,,,,0.744163139686574
0.17829511,0.744163139686574,,,
0.179442044,,,0.744163139686574,
0.193265231,,0.742046943982977,,
0.193687569,0.742046943982977,,,
0.19572451,,,0.742046943982977,
0.198447136,,,,0.742046943982977
0.208934505,,,,0.740024687438061
0.210556008,0.740024687438061,,,
0.210826167,,,0.740024687438061,
0.211580419,,0.740024687438061,,
0.222632207,,,0.738081661987007,
0.224087939,,,,0.738081661987007
0.225162878,,0.738081661987007,,
0.226008866,0.738081661987007,,,
0.237392995,,0.736206662239164,,
0.237874979,0.736206662239164,,,
0.238836138,,,,0.736206662239164
0.239909734,,,0.736206662239164,
0.250277342,,,0.73439093634543,
0.250607819,,,,0.73439093634543
0.252733689,,0.73439093634543,,
0.254797804,0.73439093634543,,,
0.264988656,0.732627502266264,,,
0.265026551,,0.732627502266264,,
0.267329309,,,0.732627502266264,
0.270082053,,,,0.732627502266264
0.282591647,,,0.730910687408983,
0.283329709,0.730910687408983,,,
0.283805977,,0.730910687408983,,
0.286473554,,,,0.730910687408983
0.29839452,,,,0.729235809720225
0.299216095,0.729235809720225,,,
0.299995995,,,0.729235809720225,
0.301053708,,0.729235809720225,,
0.314775667,,,,0.727598951173485
0.314950472,0.727598951173485,,,
0.316848654,,,0.727598951173485,
0.316868794,,0.727598951173485,,
0.328441349,,0.725996793278509,,
0.328523762,,,0.725996793278509,
0.329700961,0.725996793278509,,,
0.331869579,,,,0.725996793278509
0.343075755,,,,0.724426495248462
0.344888898,,,0.724426495248462,
0.345282745,,0.724426495248462,,
0.346700142,0.724426495248462,,,
0.359346172,0.722885602152081,,,
0.360188509,,0.722885602152081,,
0.360651519,,,,0.722885602152081
0.361849164,,,0.722885602152081,
0.372468964,,,0.721371974559996,
0.375787527,,0.721371974559996,,
0.375977671,,,,0.721371974559996
0.37617944,0.721371974559996,,,
0.389253506,0.719883733874288,,,
0.38935994,,,0.719883733874288,
0.392431329,,0.719883733874288,,
0.392898023,,,,0.719883733874288
0.404850211,,,,0.718419219287138
0.405658588,0.718419219287138,,,
0.405977728,,,0.718419219287138,
0.408568756,,0.718419219287138,,
0.42124918,,0.716976953490024,,
0.421795865,,,0.716976953490024,
0.421871527,0.716976953490024,,,
0.422405767,,,,0.716976953490024
0.434662638,,,,0.715555615056514
0.435834506,,0.715555615056514,,
0.436640891,,,0.715555615056514,
0.43854189,0.715555615056514,,,
0.448637059,,,0.71415401597786,
0.450471054,,,,0.71415401597786
0.452488632,,0.71415401597786,,
0.452903333,0.71415401597786,,,
0.465458602,,0.712771083222584,,
0.465953654,0.712771083222584,,,
0.466159419,,,0.712771083222584,
0.466337102,,,,0.712771083222584
0.478193168,,,,0.711405843471615
0.47918214,,,0.711405843471615,
0.479593223,0.711405843471615,,,
0.481173166,,0.711405843471615,,
0.494136701,,0.710057410383827,,
0.495374509,,,0.710057410383827,
0.498015032,0.710057410383827,,,
0.500234295,,,,0.710057410383827
0.521083291,,,,0.708724973896099
0.521308695,,,0.708724973896099,
0.525194521,0.708724973896099,,,
0.525830458,,0.708724973896099,,
0.544637282,,,0.707407791172893,
0.544727851,0.707407791172893,,,
0.545629798,,,,0.707407791172893
0.545746509,,0.707407791172893,,
0.561999941,0.706105178903612,,,
0.562000962,,,,0.706105178903612
0.562459851,,0.706105178903612,,
0.564084113,,,0.706105178903612,
0.576984272,,,0.704816506709228,
0.579527338,,0.704816506709228,,
0.58101219,0.704816506709228,,,
0.581116258,,,,0.704816506709228
0.592899282,,0.703541191468054,,
0.594925436,,,0.703541191468054,
0.596583586,,,,0.703541191468054
0.597108531,0.703541191468054,,,
0.609315479,0.70227869240795,,,
0.610922648,,0.70227869240795,,
0.610952404,,,0.70227869240795,
0.612987927,,,,0.70227869240795
0.625363973,,,,0.701028506841462
0.626377796,,,0.701028506841462,
0.626970148,,0.701028506841462,,
0.627237446,0.701028506841462,,,
0.640582046,,,,0.699790166443261
0.640826297,,0.699790166443261,,
0.640998567,,,0.699790166443261,
0.641654066,0.699790166443261,,,
0.653769714,0.698563233987442,,,
0.656939366,,,0.698563233987442,
0.657595693,,,,0.698563233987442
0.658043989,,0.698563233987442,,
0.670468023,,0.697347300476685,,
0.671634828,,,0.697347300476685,
0.672154267,0.697347300476685,,,
0.674260875,,,,0.697347300476685
0.686357135,,,,0.696141982606892
0.687900365,,,0.696141982606892,
0.6885642,0.696141982606892,,,
0.688570762,,0.696141982606892,,
0.701302001,0.694946920520299,,,
0.702298973,,,0.694946920520299,
0.702389955,,0.694946920520299,,
0.704438305,,,,0.694946920520299
0.717066583,,,,0.693761775807686
0.718401785,,,0.693761775807686,
0.718412218,,0.693761775807686,,
0.718852302,0.693761775807686,,,
0.729966913,0.692586229726509,,,
0.731218927,,,,0.692586229726509
0.733438744,,,0.692586229726509,
0.734203669,,0.692586229726509,,
0.744411866,,,0.691419981606925,
0.74610537,0.691419981606925,,,
0.747341668,,,,0.691419981606925
0.74805675,,0.691419981606925,,
0.759469381,,,,0.690262747421885
0.759725927,,0.690262747421885,,
0.760857097,,,0.690262747421885,
0.762038795,0.690262747421885,,,
0.77509054,0.689114258500977,,,
0.776021683,,,,0.689114258500977
0.776141925,,0.689114258500977,,
0.776550246,,,0.689114258500977,
0.78845812,,,0.687974260370614,
0.78923138,,0.687974260370614,,
0.79079931,,,,0.687974260370614
0.791210565,0.687974260370614,,,
0.803114585,0.686842511705641,,,
0.805027309,,,,0.686842511705641
0.805796196,,,0.686842511705641,
0.806142287,,0.686842511705641,,
0.817288033,,,0.685718783379436,
0.818758022,0.685718783379436,,,
0.818934688,,0.685718783379436,,
0.820254624,,,,0.685718783379436
0.832605371,,,,0.684602857601367
0.834112707,,,0.684602857601367,
0.834293991,0.684602857601367,,,
0.84045957,,0.684602857601367,,
0.852490126,,,0.683494527131915,
0.853175876,,0.683494527131915,,
0.853402823,0.683494527131915,,,
0.853552664,,,,0.683494527131915
0.868375586,,0.682393594567008,,
0.86911867,,,,0.682393594567008
0.869394784,,,0.682393594567008,
0.870746988,0.682393594567008,,,
0.884039769,0.681299871684225,,,
0.884505082,,,,0.681299871684225
0.885277802,,0.681299871684225,,
0.885284114,,,0.681299871684225,
0.897922,,,0.680213178844387,
0.898363879,,,,0.680213178844387
0.899764261,,0.680213178844387,,
0.899873684,0.680213178844387,,,
