Time [s],Relative error 0
0.0,1.0
3.779e-06,1.0
0.019938574,0.810885815168273
0.036110123,0.782701546635125
0.052204024,0.771835058953946
0.067735318,0.765472411671032
0.086177261,0.760896083228387
0.100390927,0.757222586068802
0.118221882,0.754080579991831
0.132090423,0.75128571349975
0.147335687,0.748735193594873
0.16099265,0.746366558611368
0.177782715,0.744139251273936
0.191848029,0.742025512663929
0.205921933,0.740005514092191
0.22310741,0.73806458377473
0.235801564,0.736191541590629
0.253784168,0.734377653912278
0.266813675,0.732615952332051
0.283328135,0.730900774841654
0.296850577,0.729227447900327
0.323201573,0.727592060545533
0.342084353,0.725991300304916
0.357341464,0.724422331627499
0.372153209,0.722882704212513
0.391616577,0.721370282776946
0.405369922,0.719883192470838
0.423285312,0.718419775898607
0.438312554,0.716978558875672
0.451080166,0.715558222848328
0.471563295,0.714157582459175
0.486213879,0.712775567131307
0.510611301,0.711411205824118
0.525288696,0.710063614316465
0.548645069,0.708731984521926
0.563089306,0.707415575451567
0.577321986,0.706113705522854
0.596949332,0.704825745976417
0.609919913,0.703551115210776
0.628198921,0.702289273882474
0.642968769,0.701039720648266
0.658929322,0.699801988448851
0.67029387,0.698575641251803
0.685244044,0.697360271185801
0.704046379,0.696155496009838
0.71879587,0.694960956870483
0.737178166,0.693776316307859
0.751753055,0.692601256477223
0.771565628,0.691435477558156
0.785922524,0.690278696327562
0.801553969,0.689130644876198
0.816832841,0.687991069451361
0.836647458,0.686859729410801
0.854361965,0.685736396274992
0.87173322,0.684620852866598
0.886094276,0.683512892527491
0.904165575,0.682412318404858
0.917631718,0.681318942799069
0.936748407,0.68023258656684
0.950237342,0.67915307857403
0.968502518,0.678080255193096
0.986558121,0.67701395984079
1.000991744,0.675954042552205
1.015466803,0.674900359587721
1.030203996,0.673852773069766
1.049997946,0.672811150646664
1.065258355,0.671775365181119
1.082619407,0.670745294461154
1.096260854,0.66972082093154
1.110590548,0.668701831443959
1.131110091,0.667688217024313
1.144631792,0.666679872655759
1.160216799,0.665676697076177
1.173368908,0.664678592588904
1.190383621,0.663685464885692
1.209037985,0.662697222880913
1.224142214,0.661713778556164
1.239743629,0.660735046814468
1.253075763,0.659760945343351
1.274927156,0.65879139448615
1.289544874,0.657826317120939
1.308025787,0.656865638546529
1.320771168,0.655909286375046
1.33893468,0.654957190430616
1.352806488,0.654009282653745
1.376744852,0.653065497010994
1.390219445,0.652125769409604
1.404948278,0.651190037616733
1.422166491,0.650258241183009
1.435083327,0.649330321370107
1.452741394,0.648406221082106
1.466923247,0.647485884800382
1.481763217,0.646569258521806
1.498819325,0.645656289700057
1.51163981,0.644746927189849
1.532061317,0.643841121193905
1.546104319,0.642938823212498
1.561073648,0.642039985995425
1.576506374,0.641144563496265
1.59373915,0.640252510828783
1.61245299,0.639363784225363
1.626986915,0.638478340997358
1.646337232,0.637596139497242
1.66108066,0.636717139082468
1.679894129,0.635841300080941
1.69331566,0.634968583758011
1.707326929,0.634098952284917
1.725674525,0.633232368708585
1.739999718,0.632368796922732
1.754320311,0.631508201640187
1.767948518,0.63065054836638
1.784735636,0.629795803373934
1.799546299,0.628943933678303
1.814896374,0.628094907014407
1.827151265,0.62724869181421
1.841785391,0.626405257185199
1.8625855,0.625564572889715
1.876553731,0.624726609325104
1.896034228,0.623891337504633
1.910605208,0.623058729039155
1.929674848,0.622228756119463
1.946267479,0.621401391499331
1.959159638,0.620576608479177
1.977664156,0.619754380890352
1.99254467,0.618934683079994
2.010244592,0.618117489896455
2.024071196,0.617302776675247
2.041853078,0.616490519225497
2.054707862,0.615680693816894
2.07159873,0.61487327716709
2.085203552,0.614068246429553
2.104297188,0.61326557918184
2.119303431,0.612465253414276
2.136104702,0.611667247519026
2.148738968,0.610871540279542
2.166239321,0.610078110860356
2.181259466,0.609286938797228
2.198975767,0.60849800398762
2.213064765,0.60771128668148
2.228556989,0.606926767472334
2.246325249,0.606144427288667
2.260012823,0.605364247385582
2.279652998,0.604586209336728
2.294917858,0.603810295026483
2.318381167,0.603036486642391
2.334768975,0.602264766667828
2.350653272,0.601495117874903
2.37095379,0.600727523317577
2.385055488,0.599961966324992
2.405290615,0.599198430495007
2.420083126,0.598436899687929
2.433781204,0.597677358020433
2.454133381,0.596919789859661
2.468541555,0.596164179817499
2.486739857,0.595410512745028
2.499823107,0.594658773727123
2.516558356,0.593908948077228
2.53247997,0.593161021332268
2.548787924,0.592414979247713
2.56313164,0.591670807792782
2.579352252,0.590928493145784
2.593952359,0.590188021689587
2.614606192,0.589449380007221
2.630077297,0.588712554877592
2.648092336,0.587977533271329
2.662961774,0.587244302346729
2.678016068,0.586512849445829
2.692036007,0.585783162090568
2.712054936,0.585055227979071
2.726158168,0.584329034982012
2.739720914,0.583604571139093
2.754827929,0.582881824655602
2.770574479,0.582160783899073
2.786100099,0.58144143739602
2.801514654,0.580723773828771
2.814903308,0.58000778203237
2.835243828,0.579293450991571
2.848354412,0.578580769837899
2.863080489,0.577869727846787
2.884725897,0.577160314434794
2.902359537,0.576452519156883
2.919601936,0.575746331703769
2.932850798,0.575041741899335
2.952704746,0.574338739698114
2.967688257,0.573637315182826
2.980159126,0.57293745856198
2.998259532,0.572239160167533
3.0107953,0.571542410452607
3.025048056,0.570847199989257
3.044069856,0.570153519466293
3.058864462,0.569461359687163
3.077550598,0.568770711567867
3.092211736,0.56808156613494
3.107352098,0.567393914523471
3.122290054,0.566707747975165
3.14194771,0.566023057836464
3.154659103,0.565339835556696
3.172810346,0.564658072686271
3.186795546,0.563977760874928
