Time [s],Rank 0
0.0,1.0
0.005482752,1.0
0.08263899,1.0
0.1649783,0.81434282756059
0.250487994,0.788696086597951
0.332731574,0.779984093763712
0.413630926,0.775547508263048
0.492974383,0.772739735820417
0.576635318,0.770717258193846
0.659923905,0.769133974630036
0.744845544,0.767822711587943
0.830024948,0.7666930147348
0.9178514,0.765691653293592
1.0055249,0.764785198679714
1.094800641,0.763951538786247
1.181047795,0.76317541158917
1.268628831,0.762445902624147
1.357589988,0.761754968497662
1.43966134,0.76109652705437
1.527614444,0.760465875511175
1.615195872,0.75985930618639
1.702500532,0.759273845495003
1.792423635,0.758707072223206
1.875814577,0.758156988185366
1.959631883,0.757621924333136
2.042282069,0.757100471380591
2.125888418,0.756591427715333
2.207435793,0.756093759714215
2.297439181,0.755606571104736
2.378397028,0.755129079020183
2.462728427,0.754660595075301
2.542553695,0.754200510254563
2.623348215,0.753748282729131
2.704290546,0.753303427947597
2.82200026,0.752865510509556
2.904932235,0.75243413745001
2.986772415,0.752008952649849
3.074416096,0.751589632152404
3.155042449,0.751175880214533
3.234844092,0.750767425957449
3.324685697,0.750364020510466
3.404966985,0.749965434562445
3.486306291,0.749571456252438
3.567707991,0.749181889344125
3.652391161,0.748796551638954
3.735517434,0.748415273591061
3.822951883,0.748037897093568
3.904514934,0.74766427441111
3.98756028,0.747294267237645
4.068021002,0.746927745862068
4.152513593,0.74656458842693
4.233956056,0.746204680267866
4.318411121,0.745847913323258
4.397303319,0.745494185605183
4.476455796,0.745143400724061
4.570619649,0.744795467460447
4.657771567,0.744450299378389
4.745488477,0.74410781447549
4.835496456,0.743767934865501
4.915815551,0.743430586489813
5.004293103,0.743095698854667
5.091387729,0.742763204791351
5.171865841,0.74243304023693
5.262900124,0.742105144033419
5.3458498,0.741779457743508
5.436469157,0.741455925481206
5.516888684,0.741134493755937
5.601637645,0.740815111328804
5.681264255,0.740497729079868
5.763572704,0.740182299885426
5.850507502,0.739868778504376
5.934253081,0.739557121472852
6.015054147,0.739247287006397
6.0939529,0.738939234909038
6.182475726,0.738632926488654
6.27293748,0.738328324478109
6.35607951,0.7380253929617
6.438450573,0.737724097306448
6.520713968,0.737424404097874
6.599734671,0.737126281079896
6.677950861,0.736829697098517
6.758315682,0.736534622049031
6.840531387,0.736241026826464
6.92426551,0.735948883279021
7.004751901,0.735658164164307
7.086228674,0.735368843108133
7.168729185,0.73508089456571
7.25521589,0.734794293785073
7.336405942,0.73450901677257
7.41709065,0.734225040260278
7.496981879,0.733942341675222
7.579904132,0.733660899110261
7.66086225,0.733380691296546
7.739763197,0.733101697577434
7.816031259,0.732823897883778
7.906656951,0.73254727271049
7.987204663,0.73227180309431
8.068190123,0.731997470592693
8.149419937,0.731724257263763
8.235684961,0.731452145647245
8.317308642,0.731181118746338
8.399025658,0.730911160010466
8.481553462,0.730642253318841
8.563447306,0.730374382964822
8.645196476,0.730107533640984
8.725943136,0.7298416904249
8.809221319,0.729576838765553
8.889498548,0.729312964470379
8.973252958,0.729050053692885
9.057299,0.728788092920814
9.13879187,0.728527068964834
9.226814785,0.728266968947714
9.308094964,0.728007780293975
9.392006266,0.72774949071997
9.477941521,0.727492088224389
9.563737665,0.727235561079167
9.645547475,0.726979897820751
9.724986803,0.726725087241746
9.811361821,0.726471118382885
9.890314088,0.726217980525326
9.978389794,0.725965663183264
10.061818624,0.725714156096822
10.141197723,0.725463449225228
10.225391145,0.725213532740258
10.308061207,0.724964397019927
10.391739532,0.724716032642422
10.473601592,0.724468430380264
10.561370873,0.724221581194692
10.644926044,0.723975476230248
10.727880461,0.72373010680957
10.806965242,0.72348546442837
10.889865063,0.723241540750593
10.972318336,0.722998327603758
11.053489885,0.72275581697445
11.134248583,0.722514001003989
11.213447888,0.722272871984236
11.29892187,0.722032422353553
11.381839463,0.721792644692902
11.460885254,0.721553531722071
11.547741701,0.721315076296038
11.633224734,0.721077271401446
11.712904837,0.720840110153209
11.801932507,0.720603585791219
11.883970072,0.720367691677168
11.965550423,0.720132421291471
12.050943869,0.719897768230292
12.133740322,0.719663726202657
12.215383548,0.719430289027677
12.294819399,0.719197450631837
12.373281936,0.718965205046388
12.452994364,0.718733546404809
12.535746425,0.71850246894036
12.617364402,0.718271966983693
12.700835089,0.718042034960557
12.781700934,0.717812667389552
12.863766794,0.717583858879969
12.947641982,0.717355604129682
13.048101341,0.717127897923109
13.132320592,0.716900735129231
13.221255899,0.716674110699672
13.303885327,0.716448019666828
13.385201089,0.716222457142062
13.464582564,0.71599741831394
13.544907402,0.71577289844652
13.631722103,0.715548892877698
13.712641281,0.715325397017586
13.798669189,0.715102406346949
13.884257785,0.714879916415681
13.964043041,0.714657922841316
14.045267933,0.714436421307592
14.126654417,0.714215407563049
14.212959915,0.713994877419661
14.296375354,0.713774826751512
14.38046196,0.7135552514935
14.463745114,0.713336147640088
14.547206119,0.713117511244072
14.629980771,0.712899338415394
14.709920793,0.712681625319981
14.799460282,0.712464368178613
14.883262272,0.712247563265826
14.968929259,0.712031206908837
15.048950618,0.7118152954865
15.130349381,0.711599825428286
15.215032331,0.711384793213294
15.298704581,0.711170195369282
15.379477592,0.710956028471721
15.462276291,0.71074228914288
15.544888309,0.710528974050924
15.629660093,0.710316079909043
15.711048061,0.710103603474598
15.793323975,0.709891541548284
15.876300914,0.709679890973324
15.957100797,0.709468648634671
16.038506756,0.709257811458234
16.119798342,0.709047376410127
16.210409039,0.708837340495926
16.289633973,0.708627700759952
16.369483687,0.708418454284565
16.447982618,0.708209598189479
16.53131651,0.70800112963109
