Device,Domain partitions,Exact solution,Executable name,Executable path,Info,Initial guess,Iterant,Matrix,Nodes,Processes,Processes grid,Processes per node,Rank,Relative error,Relative residual,Threads per process,Timeout [min],Timestamp,Tolerance
julia,"[[0, 100], [0, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,1.0,1.0,"[1, 1, 1]",1.0,0.0,9.98350212352763e-05,1.5649795903902e-06,256.0,2.0,2018-04-25 11:38:56,0.0001
julia,"[[0, 50, 100], [0, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,2.0,2.0,"[2, 1, 1]",1.0,0.0,9.98274641815145e-05,2.4394109494140396e-07,256.0,2.0,2018-04-25 11:39:17,0.0001
julia,"[[0, 50, 100], [0, 50, 100], [0, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,4.0,4.0,"[2, 2, 1]",1.0,0.0,9.98737842523386e-05,1.4044307029683002e-07,256.0,2.0,2018-04-25 11:39:33,0.0001
julia,"[[0, 50, 100], [0, 50, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,8.0,8.0,"[2, 2, 2]",1.0,0.0,9.97384622300363e-05,1.32911234725717e-07,256.0,2.0,2018-04-25 11:39:46,0.0001
julia,"[[0, 25, 50, 75, 100], [0, 50, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,16.0,16.0,"[4, 2, 2]",1.0,0.0,0.00045695604845636604,3.8859769258677203e-07,256.0,2.0,2018-04-25 11:40:07,0.0001
julia,"[[0, 25, 50, 75, 100], [0, 25, 50, 75, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_ajacobi,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,32.0,32.0,"[4, 4, 2]",1.0,0.0,0.000195994037654133,2.23447101029403e-07,256.0,2.0,2018-04-25 11:40:29,0.0001
