Time [s],Rank 1,Rank 0,Rank 3,Rank 2
0.0,1.0,1.0,1.0,1.0
0.001973226,1.0,,,
0.002518531,,,1.0,
0.008734506,,1.0,,
0.016665415,,,,1.0
0.018946,,,1.0,
0.019226899,,1.0,,
0.022710556,1.0,,,
0.030918613,,,,1.0
0.032803089,,,1.0,
0.034752636,1.0,,,
0.036544411,,1.0,,
0.042220634,,,,0.790276569825935
0.044897706,1.0,,,
0.048504084,,0.790276569825935,,
0.05053799,,,0.790276569825935,
0.052597919,,,,0.790276569825935
0.056406849,0.790276569825935,,,
0.058636358,,0.77342703689247,,
0.062406829,,,0.77342703689247,
0.064170702,,,,0.77342703689247
0.067075695,0.77342703689247,,,
0.072188448,,0.77342703689247,,
0.075919785,,,0.77342703689247,
0.080423292,,0.764686124765039,,
0.081962639,0.764686124765039,,,
0.082977322,,,,0.764686124765039
0.086190132,,,0.764686124765039,
0.089772443,,0.758462085616073,,
0.094602356,0.758462085616073,,,
0.095033447,,,,0.758462085616073
0.095438625,,,0.758462085616073,
0.100863014,,0.755186424835566,,
0.103385745,,,,0.755186424835566
0.103893669,0.755186424835566,,,
0.105895993,,,0.755186424835566,
0.112597058,,,,0.752302200501722
0.115312213,,,0.752302200501722,
0.118446393,0.752302200501722,,,
0.119436118,,0.752302200501722,,
0.121827766,,,,0.752302200501722
0.12362495,,,0.752302200501722,
0.12799119,0.752302200501722,,,
0.131707338,,0.74969248126106,,
0.133325547,,,,0.74969248126106
0.134765341,,,0.74969248126106,
0.135646695,0.74969248126106,,,
0.142966612,,,0.74969248126106,
0.143074627,,,,0.74969248126106
0.145790581,,0.74969248126106,,
0.146940842,0.74969248126106,,,
0.152160269,,,0.74969248126106,
0.15292002,,0.745580771670649,,
0.154346108,,,,0.745580771670649
0.158455888,0.745580771670649,,,
0.162195665,,,0.745580771670649,
0.162501015,,0.745580771670649,,
0.166563574,,,,0.745580771670649
0.170728229,0.745580771670649,,,
0.171546664,,,0.745580771670649,
0.171767305,,0.745580771670649,,
0.177390593,,,,0.740868537675953
0.180847228,,,0.740868537675953,
0.183439179,0.740868537675953,,,
0.18394521,,0.740868537675953,,
0.188022673,,,,0.740868537675953
0.191437261,,,0.740868537675953,
0.193547856,0.740868537675953,,,
0.196845839,,0.73655870931488,,
0.199832142,,,,0.73655870931488
0.203391787,,,0.73655870931488,
0.205498916,0.73655870931488,,,
0.206913705,,0.73655870931488,,
0.207631528,,,,0.73655870931488
0.211937943,,,0.73655870931488,
0.215313113,,,,0.733430586105914
0.21547186,0.733430586105914,,,
0.218550775,,0.733430586105914,,
0.222755849,,,,0.733430586105914
0.223872112,,,0.733430586105914,
0.225510545,0.733430586105914,,,
0.227013214,,0.730446772620381,,
0.234295035,,,,0.730446772620381
0.2352716,,,0.730446772620381,
0.235768708,,0.730446772620381,,
0.237860815,0.730446772620381,,,
0.245910317,,,,0.727983063296887
0.246541652,0.727983063296887,,,
0.247905328,,0.727983063296887,,
0.248288253,,,0.727983063296887,
0.254750176,,,,0.725987748494903
0.25645616,,0.725987748494903,,
0.259576639,0.725987748494903,,,
0.261243404,,,0.725987748494903,
0.264839719,,,,0.72443286707724
0.265106952,,0.72443286707724,,
0.268586785,0.72443286707724,,,
0.270229623,,,0.72443286707724,
0.273521464,,,,0.72443286707724
0.273727185,,0.72443286707724,,
0.277999278,0.72443286707724,,,
0.279378387,,,0.72443286707724,
0.281571019,,0.722906377368522,,
0.284764399,,,,0.722906377368522
0.289300058,,0.722906377368522,,
0.290000223,0.722906377368522,,,
0.290340858,,,0.722906377368522,
0.296418851,,,,0.719930735572711
0.298893839,,,0.722906377368522,
0.30006606,0.722906377368522,,,
0.301260693,,0.719930735572711,,
0.305256004,,,,0.719930735572711
0.309858178,0.719930735572711,,,
0.310179996,,,0.719930735572711,
0.311760875,,0.719930735572711,,
0.317224537,,,,0.719930735572711
0.317581198,0.719930735572711,,,
0.320289987,,0.717409058915343,,
0.323472163,,,0.719930735572711,
0.325678501,0.717409058915343,,,
0.328730347,,,,0.717409058915343
0.330627133,,0.717409058915343,,
0.331592668,,,0.717409058915343,
0.336003536,0.717409058915343,,,
0.338698611,,,,0.714245672590714
0.340092467,,,0.717409058915343,
0.342684601,,0.714245672590714,,
0.347128443,0.714245672590714,,,
0.351731266,,,0.714245672590714,
0.352566733,,,,0.714245672590714
0.354198136,,0.714245672590714,,
0.356285146,0.714245672590714,,,
0.361732042,,,0.711858167115576,
0.361980172,,,,0.711858167115576
0.36730859,0.711858167115576,,,
0.369272251,,0.711858167115576,,
0.370137233,,,0.711858167115576,
0.372377963,,,,0.711858167115576
0.377053338,0.711858167115576,,,
0.38146482,,0.709516680928381,,
0.382438237,,,0.711858167115576,
0.384319906,,,,0.709516680928381
0.390726555,0.709516680928381,,,
0.391148532,,0.709516680928381,,
0.393885624,,,,0.709516680928381
0.394919728,,,0.709516680928381,
0.401778803,,0.706901758600155,,
0.402985772,,,,0.706901758600155
0.404244116,,,0.706901758600155,
0.404470566,0.706901758600155,,,
0.410737568,,,,0.704970948753807
0.413455654,,,0.704970948753807,
0.413735819,0.704970948753807,,,
0.414354384,,0.704970948753807,,
0.419648611,,,,0.703704103900457
0.422557601,0.704970948753807,,,
0.422954219,,0.703704103900457,,
0.424143923,,,0.704970948753807,
0.429357859,,,,0.703704103900457
0.432390101,0.703704103900457,,,
0.432437298,,0.703704103900457,,
0.435164198,,,0.703704103900457,
0.439878263,,,,0.701828808122413
0.442612441,,0.701828808122413,,
0.443795128,,,0.701828808122413,
0.445937409,0.701828808122413,,,
0.448640072,,,,0.701828808122413
0.453002497,,,0.701828808122413,
0.453685632,,0.699977185856135,,
0.458117838,0.699977185856135,,,
0.458385534,,,,0.699977185856135
0.464019905,,,0.699977185856135,
0.465241044,,0.698154265147576,,
0.465894352,,,,0.698154265147576
0.471724702,0.698154265147576,,,
0.473744244,,,0.698154265147576,
0.478917501,,0.696951592429752,,
0.479376065,,,,0.696951592429752
0.481433788,0.696951592429752,,,
0.482611569,,,0.696951592429752,
0.488951195,,,,0.695759227231265
0.489522333,,0.695759227231265,,
0.490593909,0.695759227231265,,,
0.491359128,,,0.695759227231265,
0.500358388,,,0.695759227231265,
0.501280138,,,,0.694576046057514
0.502333858,,0.694576046057514,,
0.503136653,0.694576046057514,,,
0.511604693,,,0.694576046057514,
0.513036265,,0.693115303868952,,
0.516342724,0.693115303868952,,,
0.521167159,,,0.693115303868952,
0.521280422,,,,0.693115303868952
0.525009669,,0.693115303868952,,
0.529391663,0.693115303868952,,,
0.53035415,,,0.693115303868952,
0.531067941,,,,0.691953973626215
0.536173319,,0.691953973626215,,
0.540550529,0.691953973626215,,,
0.542057288,,,0.691953973626215,
0.543328727,,,,0.689945888674746
0.544637191,,0.689945888674746,,
0.549153988,0.689945888674746,,,
0.550043062,,,0.689945888674746,
0.55685819,,,,0.688809841232052
0.557616421,,0.688809841232052,,
0.558994141,,,0.688809841232052,
0.561971003,0.688809841232052,,,
0.56966398,,,,0.68767876513103
0.569854465,,0.68767876513103,,
