Time [s],Relative error 0
0.0,1.0
4.099e-06,1.0
0.013112137,0.810670658714369
0.026407345,0.782430426593858
0.035820708,0.771544989485393
0.045295152,0.765177826371661
0.058874646,0.760603316941104
0.071772629,0.756934692028997
0.081893032,0.753799105978221
0.091288373,0.751011420353315
0.100669412,0.748468384879996
0.112303612,0.746107254570668
0.122088191,0.743887292248518
0.131424617,0.741780625628695
0.141963744,0.739767357291569
0.152053325,0.737832777176453
0.161900167,0.735965687700071
0.171153421,0.734157351884237
0.184548039,0.73240080738232
0.194115387,0.730690404358722
0.203144364,0.72902148524665
0.212497117,0.727390157249571
0.226837605,0.725793127140877
0.240992414,0.724227578934478
0.252700095,0.72269108170154
0.263726886,0.721181519001143
0.272860705,0.719697034081895
0.28277393,0.718235986775889
0.295672795,0.716796919188106
0.308486313,0.71537852809063
0.318532816,0.713979642490797
0.328690283,0.712599205237111
0.338846488,0.711236257809133
0.349749805,0.709889927642383
0.361642381,0.708559417489648
0.371428633,0.707243996431798
0.380965892,0.705942992235108
0.390118634,0.704655784815686
0.400416165,0.703381800620372
0.410606168,0.70212050777109
0.420258401,0.70087141184898
0.429916969,0.699634052217685
0.441620861,0.698407998803369
0.45038619,0.697192849263572
0.459391753,0.695988226488661
0.46942737,0.694793776389023
0.479043902,0.693609165928774
0.488270033,0.692434081372999
0.49736822,0.691268226720638
0.506117332,0.690111322299367
0.515447985,0.688963103502307
0.524474015,0.687823319649307
0.535790263,0.686691732957996
0.545681938,0.685568117611845
0.555367078,0.68445225891418
0.564138782,0.683343952518589
0.57434402,0.682243003727379
0.583791521,0.681149226850814
0.59263874,0.680062444620754
0.602498602,0.678982487653126
0.611369344,0.677909193954279
0.620819963,0.676842408466906
0.630880157,0.675781982651685
0.641047527,0.674727774101224
0.650472938,0.673679646183304
0.660986336,0.672637467710709
0.671327287,0.67160111263525
0.68092726,0.670570459763824
0.691406289,0.669545392494588
0.701320586,0.668525798571522
0.710960802,0.667511569855806
0.720846453,0.666502602112642
0.730551288,0.665498794812225
0.742722316,0.664500050943741
0.75282626,0.663506276841345
0.762105845,0.662517382021188
0.772296449,0.66153327902864
0.782133408,0.660553883294923
0.795364309,0.659579113002467
0.80557985,0.658608888958327
0.815731986,0.657643134475083
0.828010772,0.656681775258683
0.838350109,0.655724739302733
0.85207596,0.654771956788793
0.861929097,0.653823359992247
0.871040744,0.652878883193382
0.881047725,0.651938462593323
0.890711094,0.651002036234496
0.899950958,0.65006954392532
0.908492501,0.649140927168865
0.918375717,0.64821612909521
0.927746823,0.647295094397279
0.937099837,0.646377769269921
0.946255315,0.64546410135205
0.956364542,0.644554039671651
0.966395789,0.643647534593476
0.976417915,0.642744537769275
0.986747038,0.641845002090409
0.996477462,0.640948881642707
1.005009103,0.640056131663441
1.014353788,0.639166708500286
1.024446837,0.638280569572174
1.034417174,0.637397673331909
1.044609321,0.636517979230471
1.054327918,0.635641447682903
1.064941186,0.634768040035691
1.07475866,0.633897718535579
1.084241513,0.633030446299708
1.094367789,0.632166187287046
1.103889823,0.631304906271015
1.114859071,0.630446568813267
1.124794176,0.629591141238544
1.13443343,0.628738590610574
1.14514732,0.62788888470894
1.15497594,0.627041992006889
1.165634182,0.62619788165002
1.17511035,0.625356523435815
1.183701538,0.624517887793975
1.193404628,0.623681945767519
1.202146504,0.622848668994608
1.211807237,0.622018029691061
1.220713501,0.621190000633539
1.239105446,0.620364555143353
1.250562097,0.619541667070873
1.259489771,0.618721310780515
1.269159775,0.61790346113628
1.27779715,0.617088093487803
1.287373018,0.616275183656919
1.29735883,0.615464707924701
1.307062482,0.614656643018952
1.31653435,0.613850966102141
1.326307632,0.613047654759759
1.336001441,0.612246686989076
1.345922314,0.611448041188274
1.355146922,0.610651696145965
1.364360394,0.609857631031051
1.37405266,0.609065825382924
1.384410259,0.608276259101995
1.393616034,0.607488912440535
1.404425875,0.606703765993808
1.414469651,0.605920800691501
1.424056724,0.605139997789427
1.434341244,0.60436133886149
1.443883715,0.603584805791906
1.453746784,0.602810380767673
1.463299248,0.602038046271275
1.472138939,0.601267785073608
1.482164102,0.600499580227128
1.492363276,0.599733415059211
1.501960061,0.598969273165711
1.511982257,0.598207138404712
1.521594148,0.597446994890473
1.531407011,0.596688826987546
1.540587929,0.595932619305075
1.55029581,0.595178356691256
1.560965068,0.594426024227963
1.571277302,0.59367560722553
1.581115424,0.592927091217681
1.589983741,0.592180461956604
1.599843954,0.591435705408173
1.60934541,0.590692807747293
1.619324035,0.589951755353384
1.628720068,0.58921253480599
1.639005902,0.588475132880508
1.648717663,0.587739536544035
1.659086287,0.587005732951325
1.668945918,0.586273709440867
1.678471801,0.585543453531056
1.68834791,0.584814952916475
1.698991809,0.584088195464272
1.712503617,0.583363169210637
1.722080226,0.58263986235737
1.731074714,0.581918263268536
1.740644667,0.581198360467216
1.750600039,0.580480142632328
1.759902367,0.579763598595547
1.770542707,0.579048717338288
1.780406659,0.578335487988777
1.790371963,0.577623899819192
1.80032076,0.576913942242874
1.809036836,0.576205604811611
1.819093532,0.575498877212988
1.828577939,0.574793749267805
1.837811317,0.574090210927554
1.846900222,0.573388252271961
1.857421328,0.572687863506588
1.865904287,0.57198903496049
1.875567436,0.571291757083935
1.88464741,0.57059602044617
1.89444543,0.569901815733243
1.904170972,0.569209133745885
1.91371656,0.568517965397426
1.923291595,0.567828301711775
1.933636686,0.567140133821439
1.943829415,0.566453452965587
1.953746368,0.565768250488164
1.96433539,0.565084517836044
1.974271598,0.56440224655723
1.984082006,0.563721428299086
