Block Iterant,Block Max iterations,Block Steps,Block Timeout [min],Block Tolerance,Device,Domain partitions,Exact solution,Executable name,Executable path,Info,Initial guess,Iterant,Matrix,Max iterations,Nodes,Processes,Processes grid,Processes per node,Rank,Relative error,Relative residual,Steps,Threads per process,Timeout [min],Timestamp,Tolerance
cg,5.0,1.0,1.0,0.1,julia,"[[0, 100], [0, 100], [0, 100]]",white-noise sine,example.laplace3d_blockjacobi_cg,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,blockjacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,6.47873977714274e-05,1.54317472494635e-06,1.0,256.0,2.0,2018-04-25 16:19:17,0.0001
cg,5.0,1.0,1.0,0.1,julia,"[[0, 50, 100], [0, 50, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_blockjacobi_cg,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,blockjacobi,laplace3d,1000000.0,8.0,8.0,"[2, 2, 2]",1.0,0.0,9.665742182596209e-05,4.894083192968879e-07,1.0,256.0,2.0,2018-04-25 16:19:59,0.0001
cg,5.0,1.0,1.0,0.1,julia,"[[0, 25, 50, 75, 100], [0, 25, 50, 75, 100], [0, 50, 100]]",white-noise sine,example.laplace3d_blockjacobi_cg,/gpfs/homeb/zam/tnikolov/asynchronator/build/example,SIAM,zero,blockjacobi,laplace3d,1000000.0,32.0,32.0,"[4, 4, 2]",1.0,0.0,9.97126509532293e-05,3.54215545200227e-07,1.0,256.0,2.0,2018-04-25 16:20:20,0.0001
