Device,Domain partitions,Exact solution,Executable name,Executable path,Info,Initial guess,Iterant,Matrix,Max iterations,Nodes,Processes,Processes grid,Processes per node,Rank,Relative error,Relative residual,Steps,Threads per process,Timeout [min],Timestamp,Tolerance
julia,"[[0, 256], [0, 256], [0, 256]]",white-noise sine,example.laplace3d_ajacobi,~/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,0.5509306639843299,0.00233624316149237,1.0,256.0,2.0,2018-04-26 09:53:02,0.0001
julia,"[[0, 64, 128, 192, 256], [0, 128, 256], [0, 128, 256]]",white-noise sine,example.laplace3d_ajacobi,~/asynchronator/build/example,SIAM,zero,ajacobi,laplace3d,1000000.0,16.0,16.0,"[4, 2, 2]",1.0,0.0,0.30473868502066603,0.000131387056861031,1.0,256.0,2.0,2018-04-26 09:53:32,0.0001
julia,"[[0, 256], [0, 256], [0, 256]]",white-noise sine,example.laplace3d_jacobi,~/asynchronator/build/example,SIAM,zero,jacobi,laplace3d,1000000.0,1.0,1.0,"[1, 1, 1]",1.0,0.0,0.552419112244028,0.00212731239099713,1.0,256.0,2.0,2018-04-26 09:50:37,0.0001
julia,"[[0, 64, 128, 192, 256], [0, 128, 256], [0, 128, 256]]",white-noise sine,example.laplace3d_jacobi,~/asynchronator/build/example,SIAM,zero,jacobi,laplace3d,1000000.0,16.0,16.0,"[4, 2, 2]",1.0,0.0,0.331765435035199,0.000531265934207163,1.0,256.0,2.0,2018-04-26 09:52:21,0.0001
